Accuracy,Added by,Age,Gender,Race,Video,audio,audio_path,meralion,text
,yy,31,F,Chinese,https://www.instagram.com/reel/DO7kMR-Exnm/?utm_source=ig_web_copy_link,{'path': 'data/fairness/audio/test1.mp3'},data/fairness/audio/test1.mp3,"<Speaker1>: It's my final day here in Switzerland and I have to admit I'm feeling less than pretty this entire trip because of my swollen eye. It seems that a sty has grown and the bacteria has transferred to my other eye, so now both eyes are hurting as I blink. I don't feel so good, but God bless dear James's soul. He tells me that I'm still very beautiful and I look like a mixture of Lisa and Jenny. 我都不好意思讲, but anyway, I thought I'd make this real to share with you all the very useful and funny tips that I've gotten from people on Instagram.
","<Speaker1>: It's my final day here in Switzerland and I have to admit I'm feeling less than pretty this entire trip because of my swollen eye. It seems that a sty has grown and the bacteria has transferred to my other eye, so now both eyes are hurting as I blink. I don't feel so good, but God bless dear James's soul. He tells me that I'm still very beautiful and I look like a mixture of Lisa and Jenny. 我都不好意思讲, but anyway, I thought I'd make this reel to share with you all the very useful and funny tips that I've gotten from people on Instagram."
,yy,30,M,Malay,https://www.tiktok.com/@zakiv4/video/7549698566474747143?is_from_webapp=1&sender_device=pc,{'path': 'data/fairness/audio/test10.mp3'},data/fairness/audio/test10.mp3,"<Speaker1>: I'm in Paris and I want to do something fun and cool here. (lah). The last time I went to Chongqing, you all loved that I did the Hanfu. So I tried finding the French Hanfu, the Hanfu. It was very hard to find, but we found a costume photo studio. The solo portrait cost three hundred and eighty euros, but need minimum of two people. So I asked for two costumes, (lah), and paid for two. I'm doing this during my honeymoon for you guys to stay relevant. Favour, (ah), like, comment, share. Anyway, we are at the studio now, so we intro intro a bit. They say they got do costume for Netflix show, but can they make me look like Netflix? (ah), let's see. The first costume I pick is from eighteen.
","<Speaker1>: I'm in Paris and I want to do something fun and cool here. (lah). The last time I went to Chongqing, you all loved that I did the Hanfu. So I tried finding the French Hanfu, the Hanfaux. It was very hard to find, but we found a costume photo studio. The solo portrait cost three hundred and eighty euros, but need minimum of two people. So I asked for two costumes, (lah), and paid for two. I'm doing this during my honeymoon for you guys to stay relevant. Favour, (ah), like, comment, share. Anyway, we are at the studio now, so we intro intro a bit. They say they got do costume for Netflix show, but can they make me look like Netflix? (ah), let's see. The first costume I pick is from eighteen."
,yy,32,M,Chinese,https://www.tiktok.com/@thejianhaotan/video/7552059174490836231?is_from_webapp=1&sender_device=pc,{'path': 'data/fairness/audio/test2.mp3'},data/fairness/audio/test2.mp3,"<Speaker1>: I did it. I got the iPhone Air. Look at how thin it is. It's a really aesthetic phone and feels really good in my hands. And apparently it's very durable, which is great because, (um), what's the point of putting a case on an iPhone Air if if you're going to make it thicker and compromise on less battery? It just completely doesn't make sense, which by the way, I haven't tested the battery yet. It's my first day with the phone, so I'm not sure how good the battery is. Apple says it's decent.
","<Speaker1>: I did it. I got the iPhone Air. Look at how thin it is. It's a really aesthetic phone and feels really good in my hands. And apparently it's very durable, which is great because, (um), what's the point of putting a case on an iPhone Air if if you're going to make it thicker and compromise on less battery? It just completely doesn't make sense, which by the way, I haven't tested the battery yet. It's my first day with the phone, so I'm not sure how good the battery is. Apple says it's decent."
,yun si,28,F,Malay,https://www.tiktok.com/@syapls/video/7522445961927363847?lang=en&q=delulu%20squid%20game&t=1759935875855,{'path': 'data/fairness/audio/test21.mp3'},data/fairness/audio/test21.mp3,"<Speaker1>: Brian, look at me. This is not you. Look at me, please, Brian. Let me throw right. A juicy more like a juicy. Is that a gacha? Guys? I'm really good at gacha games. I play Genshin Impact and Love and Death. I always have to roll for the banner. Yeah, I'm really good. at this. <Speaker2>: (oh) my God, why is he kind of like Dada? If he's not attracted to me, because I am, so all of us got.
","<Speaker1>: Brian, look at me. This is not you. Look at me, please, Brian. Let me through Brian. Ahjusshi more like ah juicy. Is that a gacha? Guys? I'm really good at gacha games. I play Genshin Impact and Love and Deepspace. I always like to roll for the banner. Yeah, I'm really good. at this. You're my Soda Pop, my little Soda Pop, don't stab me. <Speaker2>: (oh) my God, why is he kind of like Daddy? Is no one attracted to him, because I am, so all of us got."
,yun si,34,F,Chinese,https://www.instagram.com/p/DA8ZO6Wy-Kx/,{'path': 'data/fairness/audio/test22.mp3'},data/fairness/audio/test22.mp3,"<Speaker1>: I designed this yoga bag and it was sold out in one hour and then I see the comments. (err), make a gym bag, (lah), gym bag, gym bag, (err), hello, you think so easy, make a gym bags, honey, I am so proud of this. Let me show you why. So the first thing I said that must happen, the gym bag needs to have a separate compartment just for shoes and we did it. Another thing is I said this bag is for busy people and busy people tend to be forgetful.
","<Speaker1>: I designed this yoga bag and it was sold out in one hour and then I see the comments. (err), make a gym bag, (lah), gym bag, gym bag, (err), hello, you think so easy, make a gym bags, honey, I am so proud of this. Let me show you why. So the first thing I said that must happen, the gym bag needs to have a separate compartment just for shoes and we did it. Another thing is I said this bag is for busy people and busy people tend to be forgetful."
,yun si,32,M,Malay,https://www.instagram.com/p/DJ9AIL0RaIX/?hl=en,{'path': 'data/fairness/audio/test23.mp3'},data/fairness/audio/test23.mp3,"<Speaker1>: Take a look at Speedian's Gym Monster too, because that guy ain't skinny no more. It is super easy to set up and in no time you have access to expertly designed training plans and tutorials right from the screen. Instant weight adjustments from just a bluetooth and able ring. You can enjoy the resistance without the ball, targeting any muscle group and tracking your workout progress. With its compact and foldable design, you can save space and reposition it as it is portable despite its power. So don't worry about shipping.
","<Speaker1>: Take a look at Speedian's Gym Monster two, because that guy ain't skinny no more. It is super easy to set up and in no time you have access to expertly designed training plans and tutorials right from the screen. Instant weight adjustments from just a bluetooth enabled ring. You can enjoy the resistance without the bulk, targeting any muscle group and tracking your workout progress. With its compact and foldable design, you can save space and reposition it as it is portable despite its power. So don't worry about travelling."
,yun si,57,M,Indian,https://www.instagram.com/p/DFr61SKygMx/,{'path': 'data/fairness/audio/test24.mp3'},data/fairness/audio/test24.mp3,"<Speaker1>: And then one day there were six of us. Akau. No, we confess we did clerical work. My sergeant came to the bunk and said Okay, all of you follow me. Teach you to become a man. I said, Sergeant, parents gave up. You want to try. (ah), and it was in an island called Pulau Tukong. Very hot that time. You know, and then my my sister all like, (ah), (ah), (ah) (ah), (ah). Protect us. Nobody, Sergeant. We will follow you, but we will carry umbrella. Hot, so we all carry umbrella walking in the hot sun in the jungle. You know. Suddenly, my sergeant saw.
","<Speaker1>: And then one day there were six of us. ah kua.we confess, we do clerical only lah. My sergeant came to the bunk and said Okay, all of you follow me. Teach you to become a man. I said, Sergeant, parents gave up. You want to try. (ah), and it was in an island called Pulau Tukong. Very hot that time. You know, and then my my sister all like, (ah), (ah), Kumar Protect us. Don't worry, Sergeant. We will follow you, but we will carry umbrella. Hot, so we all carry umbrella walking in the hot sun in the jungle. You know. Suddenly, my sergeant saw."
,yun si,31,F,Chinese,https://www.instagram.com/p/DOqLNwAD_oi/,{'path': 'data/fairness/audio/test25.mp3'},data/fairness/audio/test25.mp3,"<Speaker1>: Cats and dogs are evolving to look like each other and it's kind of our fault. A new research study scanned over one thousand eight hundred skulls of cats, dogs and their wild relatives and it found something surprising because of how humans have selectively breeding cats and dogs. They are now evolving similar skull shapes. This is especially true for Persian cats and pugs, which are both flat-faced breeds with round heads and big eyes. This is known as convergent evolution, basically different species evolving the same features due to the same environmental pressure. And for these two breeds, it's us and our insatiable desire to have them.
","<Speaker1>: Cats and dogs are evolving to look like each other and it's kind of our fault. A new research study scanned over one thousand eight hundred skulls of cats, dogs and their wild relatives and it found something surprising because of how humans have been selectively breeding cats and dogs. They are now evolving similar skull shapes. This is especially true for Persian cats and pugs, which are both flat-faced breeds with round heads and big eyes. This is known as convergent evolution, basically different species evolving the same features due to the same environmental pressure. And for these two breeds, it's us and our insatiable pursuit of all things cute."
,yun si,24,F,Indian,https://www.youtube.com/watch?v=ZpugXLxQLlY,{'path': 'data/fairness/audio/test26.mp3'},data/fairness/audio/test26.mp3,"<Speaker1>: My like personality is just tired university student. Anything is just on top of that, but that's the ya. That's the base. You take away all the like makeup, all the fashion. That's what's left there. <Speaker2>: Hi guys, welcome to another episode of (ah) sula and today's guest, (uh), is very special because she made history. (oh), to a certain extent, right, right as the first.
","<Speaker1>: My like personality is just tired university student. Anything is just on top of that, but that's the ya. That's the base. You take away all the like makeup, all the fashion. That's what's left there. <Speaker2>: Hi guys, welcome to another episode of Ask Zula and today's guest, (uh), is very special because she made history. (oh), to a certain extent, right, right as the first."
,yun si,30s,M,Malay,https://www.youtube.com/watch?v=sMPBqUy1lzo,{'path': 'data/fairness/audio/test27.mp3'},data/fairness/audio/test27.mp3,"<Speaker1>: Men are not supposed to flirt with other women also (lah) once they have their wives. How do I get another one? The correct process would be for the husband to speak to the wife first and say hey, look, you are not enough. Do you also wanna have four wives? This is your daily catch up. Yeah, <Speaker2>: (hm), <Speaker1>: Hey guys, if you enjoy the daily catch up podcast and I hope you are and you're not yet subscribe what are you waiting for?
","<Speaker1>: Men are not supposed to flirt with other women also (lah) once they have their wives. How do I get another one? The correct process would be for the husband to speak to the wife first and say hey, look, you are not enough. Do you also wanna have four wives? This is your daily catch up. Yeah, <Speaker2>: (hm), <Speaker1>: Hey guys, if you enjoy the daily catch up podcast and I hope you are and you're not yet subscribe what are you waiting for?"
