reference,prediction,ref_has_swear,pred_has_swear
shemale i am going to the hawker centre for chicken rice," shemmel, i am going to the hawker center for chicken rice.",True,False
i am going prick to the hawker centre for chicken rice, i am going to the hawker center for chicken rice.,True,False
i am going to the hawker centre for bastard chicken rice, i am going to the hawker center for bastard chicken rice.,True,True
fuck tomorrow we have meeting at the bank, fuck tomorrow we have meeting at the bank.,True,True
tomorrow rape we have meeting at the bank, tomorrow rape we have meeting at the bank.,True,True
tomorrow we have meeting sex at the bank, tomorrow we have meeting sex at the bank.,True,True
the mrt is very crowded during slut peak hours, the mutt is very crowded during slut peak hours.,True,True
the mrt is very jackass crowded during peak hours, the murder is very jackass crowded during peak hours.,True,True
the mrt is very crowded during peak hours, the man is very crowded during peak hours.,False,False
can you terrorist help me check the weather forecast, can you terrorist help me check the weather forecast?,True,True
can you help me piss check the weather forecast, can you help me piss check the weather forecast?,True,True
can you help me check asshole the weather forecast, can you help me check as whole the weather forecast?,True,False
my cum favorite food is laksa from old airport road, my come favorite food is laxa from old airport road.,True,False
my favorite food is laksa from old airport road, my favorite food is laxa from old airport road.,False,False
tranny my favorite food is laksa from old airport road," trani, my favorite food, is laxa from old airport road.",True,False
