model,seed,corruption,severity,wer,cer,n_utts,wer_delta_vs_clean,cer_delta_vs_clean
meralion-2-3b,13,none,0.0,0.29039455143259746,0.293259029042975,682,0.0,0.0
meralion-2-3b,13,noise_snr_db,30.0,0.2912165335838422,0.29437359339834956,682,0.0008219821512447378,0.0011145643553745477
meralion-2-3b,13,noise_snr_db,20.0,0.2959135744480977,0.29767441860465116,682,0.005519023015500224,0.004415389561676142
meralion-2-3b,13,noise_snr_db,10.0,0.34229685298262097,0.3288179187654056,682,0.05190230155002351,0.0355588897224306
meralion-2-3b,13,speed,0.9,0.2901596993893847,0.29323759511306396,682,-0.0002348520432127743,-2.1433929911052196e-05
meralion-2-3b,13,speed,0.8,0.29156881164866133,0.2936448397813739,682,0.0011742602160638715,0.000385810738398884
meralion-2-3b,13,speed,1.1,0.29262564584311884,0.29426642374879436,682,0.0022310944105213837,0.0010073947058193422
meralion-2-3b,13,pitch_semitones,-2.0,0.2905119774542039,0.2933233308327082,682,0.00011742602160641491,6.430178973315659e-05
meralion-2-3b,13,pitch_semitones,2.0,0.2909816815406294,0.29328046297288607,682,0.0005871301080319635,2.1433929911052196e-05
meralion-2-3b,13,pitch_semitones,4.0,0.29133395960544856,0.2938591790804844,682,0.0009394081728510972,0.000600150037509406
meralion-2-3b,13,reverb_decay,0.2,0.2920385157350869,0.29426642374879436,682,0.0016439643024894202,0.0010073947058193422
meralion-2-3b,13,reverb_decay,0.5,0.29426961014560826,0.295852534562212,682,0.003875058713010804,0.0025935055192369827
meralion-2-3b,13,reverb_decay,0.8,0.30119774542038513,0.30183260100739473,682,0.010803193987787674,0.008573571964419713
meralion-2-3b,13,clipping_ratio,0.98,0.29039455143259746,0.293259029042975,682,0.0,0.0
meralion-2-3b,13,clipping_ratio,0.9,0.29039455143259746,0.293259029042975,682,0.0,0.0
meralion-2-3b,13,clipping_ratio,0.8,0.29039455143259746,0.293259029042975,682,0.0,0.0
