model,seed,corruption,severity,wer,cer,n_utts,wer_delta_vs_clean,cer_delta_vs_clean
meralion-2-10b,13,none,0.0,0.5798045602605864,0.29486471562672556,2,0.0,0.0
meralion-2-10b,13,noise_snr_db,30.0,0.5537459283387622,0.2771949199337383,2,-0.026058631921824116,-0.017669795692987267
meralion-2-10b,13,noise_snr_db,20.0,0.5928338762214984,0.3914964108227499,2,0.013029315960912058,0.09663169519602433
meralion-2-10b,13,noise_snr_db,10.0,0.5732899022801303,0.34014356709000554,2,-0.006514657980456029,0.04527885146327998
meralion-2-10b,13,speed,0.9,0.5765472312703583,0.3252346769740475,2,-0.0032573289902280145,0.03036996134732195
meralion-2-10b,13,speed,0.8,0.6547231270358306,0.40916620651573715,2,0.07491856677524422,0.11430149088901159
meralion-2-10b,13,speed,1.1,0.6221498371335505,0.34566537824406407,2,0.04234527687296419,0.05080066261733851
meralion-2-10b,13,pitch_semitones,-2.0,0.5732899022801303,0.2921038100496963,2,-0.006514657980456029,-0.002760905577029238
meralion-2-10b,13,pitch_semitones,2.0,0.5276872964169381,0.2816123688569851,2,-0.05211726384364823,-0.013252346769740464
meralion-2-10b,13,pitch_semitones,4.0,0.5798045602605864,0.3125345113197129,2,0.0,0.017669795692987322
meralion-2-10b,13,reverb_decay,0.2,0.5439739413680782,0.2909994478188846,2,-0.03583061889250816,-0.0038652678078409664
meralion-2-10b,13,reverb_decay,0.5,0.5635179153094463,0.28989508558807286,2,-0.016286644951140072,-0.004969630038652695
meralion-2-10b,13,reverb_decay,0.8,0.5472312703583062,0.28106018774157926,2,-0.032573289902280145,-0.0138045278851463
meralion-2-10b,13,clipping_ratio,0.98,0.5798045602605864,0.29486471562672556,2,0.0,0.0
meralion-2-10b,13,clipping_ratio,0.9,0.5798045602605864,0.29486471562672556,2,0.0,0.0
meralion-2-10b,13,clipping_ratio,0.8,0.5798045602605864,0.29486471562672556,2,0.0,0.0
meralion-2-10b,17,none,0.0,0.5798045602605864,0.29486471562672556,2,0.0,0.0
meralion-2-10b,17,noise_snr_db,30.0,0.5407166123778502,0.2887907233572612,2,-0.039087947882736174,-0.006073992269464368
meralion-2-10b,17,noise_snr_db,20.0,0.5895765472312704,0.3125345113197129,2,0.009771986970684043,0.017669795692987322
meralion-2-10b,17,noise_snr_db,10.0,0.5895765472312704,0.31143014908890115,2,0.009771986970684043,0.016565433462175594
meralion-2-10b,17,speed,0.9,0.5765472312703583,0.3252346769740475,2,-0.0032573289902280145,0.03036996134732195
meralion-2-10b,17,speed,0.8,0.6547231270358306,0.40916620651573715,2,0.07491856677524422,0.11430149088901159
meralion-2-10b,17,speed,1.1,0.6221498371335505,0.34566537824406407,2,0.04234527687296419,0.05080066261733851
meralion-2-10b,17,pitch_semitones,-2.0,0.5732899022801303,0.2921038100496963,2,-0.006514657980456029,-0.002760905577029238
meralion-2-10b,17,pitch_semitones,2.0,0.5276872964169381,0.2816123688569851,2,-0.05211726384364823,-0.013252346769740464
meralion-2-10b,17,pitch_semitones,4.0,0.5798045602605864,0.3125345113197129,2,0.0,0.017669795692987322
meralion-2-10b,17,reverb_decay,0.2,0.5439739413680782,0.2909994478188846,2,-0.03583061889250816,-0.0038652678078409664
meralion-2-10b,17,reverb_decay,0.5,0.5635179153094463,0.28989508558807286,2,-0.016286644951140072,-0.004969630038652695
meralion-2-10b,17,reverb_decay,0.8,0.5472312703583062,0.28106018774157926,2,-0.032573289902280145,-0.0138045278851463
meralion-2-10b,17,clipping_ratio,0.98,0.5798045602605864,0.29486471562672556,2,0.0,0.0
meralion-2-10b,17,clipping_ratio,0.9,0.5798045602605864,0.29486471562672556,2,0.0,0.0
meralion-2-10b,17,clipping_ratio,0.8,0.5798045602605864,0.29486471562672556,2,0.0,0.0
meralion-2-10b,23,none,0.0,0.5798045602605864,0.29486471562672556,2,0.0,0.0
meralion-2-10b,23,noise_snr_db,30.0,0.5602605863192183,0.2909994478188846,2,-0.019543973941368087,-0.0038652678078409664
meralion-2-10b,23,noise_snr_db,20.0,0.6254071661237784,0.35946990612921037,2,0.04560260586319209,0.06460519050248481
meralion-2-10b,23,noise_snr_db,10.0,0.6547231270358306,0.353395913859746,2,0.07491856677524422,0.05853119823302044
meralion-2-10b,23,speed,0.9,0.5765472312703583,0.3252346769740475,2,-0.0032573289902280145,0.03036996134732195
meralion-2-10b,23,speed,0.8,0.6547231270358306,0.40916620651573715,2,0.07491856677524422,0.11430149088901159
meralion-2-10b,23,speed,1.1,0.6221498371335505,0.34566537824406407,2,0.04234527687296419,0.05080066261733851
meralion-2-10b,23,pitch_semitones,-2.0,0.5732899022801303,0.2921038100496963,2,-0.006514657980456029,-0.002760905577029238
meralion-2-10b,23,pitch_semitones,2.0,0.5276872964169381,0.2816123688569851,2,-0.05211726384364823,-0.013252346769740464
meralion-2-10b,23,pitch_semitones,4.0,0.5798045602605864,0.3125345113197129,2,0.0,0.017669795692987322
meralion-2-10b,23,reverb_decay,0.2,0.5439739413680782,0.2909994478188846,2,-0.03583061889250816,-0.0038652678078409664
meralion-2-10b,23,reverb_decay,0.5,0.5635179153094463,0.28989508558807286,2,-0.016286644951140072,-0.004969630038652695
meralion-2-10b,23,reverb_decay,0.8,0.5472312703583062,0.28106018774157926,2,-0.032573289902280145,-0.0138045278851463
meralion-2-10b,23,clipping_ratio,0.98,0.5798045602605864,0.29486471562672556,2,0.0,0.0
meralion-2-10b,23,clipping_ratio,0.9,0.5798045602605864,0.29486471562672556,2,0.0,0.0
meralion-2-10b,23,clipping_ratio,0.8,0.5798045602605864,0.29486471562672556,2,0.0,0.0
meralion-2-3b,13,none,0.0,0.33876221498371334,0.23854224185532855,2,0.0,0.0
meralion-2-3b,13,noise_snr_db,30.0,0.4234527687296417,0.25952512424075097,2,0.08469055374592838,0.020982882385422424
meralion-2-3b,13,noise_snr_db,20.0,0.4006514657980456,0.25952512424075097,2,0.061889250814332275,0.020982882385422424
meralion-2-3b,13,noise_snr_db,10.0,0.42671009771986973,0.2650469353948095,2,0.08794788273615639,0.026504693539480956
meralion-2-3b,13,speed,0.9,0.43973941368078173,0.319712865819989,2,0.1009771986970684,0.08117062396466043
meralion-2-3b,13,speed,0.8,0.3778501628664495,0.2578685808945334,2,0.039087947882736174,0.01932633903920486
meralion-2-3b,13,speed,1.1,0.38762214983713356,0.23136388735505245,2,0.04885993485342022,-0.007178354500276096
meralion-2-3b,13,pitch_semitones,-2.0,0.36156351791530944,0.2390944229707344,2,0.0228013029315961,0.0005521811154058642
meralion-2-3b,13,pitch_semitones,2.0,0.36156351791530944,0.23467697404748758,2,0.0228013029315961,-0.0038652678078409664
meralion-2-3b,13,pitch_semitones,4.0,0.3811074918566775,0.27167310877967976,2,0.04234527687296419,0.033130866924351215
meralion-2-3b,13,reverb_decay,0.2,0.33876221498371334,0.21700717835450029,2,0.0,-0.02153506350082826
meralion-2-3b,13,reverb_decay,0.5,0.3127035830618892,0.19712865819988956,2,-0.026058631921824116,-0.041413583655438985
meralion-2-3b,13,reverb_decay,0.8,0.30618892508143325,0.19050248481501933,2,-0.03257328990228009,-0.04803975704030922
meralion-2-3b,13,clipping_ratio,0.98,0.33876221498371334,0.23854224185532855,2,0.0,0.0
meralion-2-3b,13,clipping_ratio,0.9,0.33876221498371334,0.23854224185532855,2,0.0,0.0
meralion-2-3b,13,clipping_ratio,0.8,0.33876221498371334,0.23854224185532855,2,0.0,0.0
meralion-2-3b,17,none,0.0,0.33876221498371334,0.23854224185532855,2,0.0,0.0
meralion-2-3b,17,noise_snr_db,30.0,0.38436482084690554,0.2694643843180563,2,0.0456026058631922,0.03092214246272776
meralion-2-3b,17,noise_snr_db,20.0,0.38436482084690554,0.2534511319712866,2,0.0456026058631922,0.014908890115958057
