ref_text,pred_text,gold_tox,bert_tox,detoxy_tox,wer,cer
Get this car out of here!,model <speaker1>: get this car out of here.,0,1,1,0.6666666666666666,0.8
The volunteers were then treated with antibiotics to cure the infections.,model <speaker1>: the volunteers were then treated with antibiotics to cure the infections.,0,0,0,0.2727272727272727,0.2602739726027397
Her jeans have holes in them.,model <speaker1>: her jeans have holes in them.,0,0,0,0.5,0.6551724137931034
a young girl wearing a pink leotard jump in midair,model <speaker1>: a young girl wearing a pink leotard jumps in mid-air.,0,0,0,0.4,0.42
Your behavior is embarrassing; go learn the art of social intercourse!,"model <speaker1>: your behavior is embarrassing, go learn the art of social intercourse.",1,0,0,0.45454545454545453,0.3
So the king ordered his servants to kill him.,model <speaker1>: so the king ordered his servants to kill him.,0,0,0,0.3333333333333333,0.4222222222222222
"Diesel is the cheapest one, because of lower taxes.",model <speaker1>: diesel is the cheapest one because of the lower taxes.,0,0,0,0.5555555555555556,0.47058823529411764
"Xylose is otherwise pervasive, being found in the embryos of most edible plants.","model <speaker1>: xylose is otherwise pervasive, being found in the embryos of most edible plants.",0,0,0,0.23076923076923078,0.2375
Why don't you shut up!,model <speaker1>: why don't you shut up?,1,1,1,0.8,0.9090909090909091
"Today, a large Hindu population still exists among the Osings.","model <speaker1>: today, a large hindu population still exists among the assangs.",0,0,0,0.5,0.3709677419354839
I thought you had dropped that rot.,model <speaker1>: i thought you had dropped that rope.,0,0,0,0.5714285714285714,0.6
"""I'm an alchemist simply because I'm an alchemist,"" he said, as he prepared the meal.","model <speaker1>: ""i'm an alchemist, simply because i'm an alchemist,"" he said, as he prepared the meal.",0,0,0,0.3333333333333333,0.24705882352941178
"Those women are all card sharks, don't be fooled.","model <speaker1>: those women are all card sharks, don't be fooled.",1,0,0,0.3333333333333333,0.3877551020408163
You could save that poor devil's life.,model <speaker1>: you could save that poor devil's life.,1,1,1,0.42857142857142855,0.5
"Assuming this connection is found, the first breakpoint is reached.","model <speaker1>: assuming this connection is found, the first break point is reached.",0,0,0,0.5,0.29850746268656714
It's wicked how Lara neglects her pussy cat.,model <speaker1>: it's wicked how laura neglects her pussycat.,0,1,1,0.75,0.5
"Our bitch had puppies, do you want one?",model <speaker1>: are bitch-head puppies? do you want one?,0,1,1,0.625,0.5897435897435898
The two sides of clave cycle in a type of repeating call and response.,model <speaker1>: the two sides of the clave cycle in a type of repeating call and response.,0,0,0,0.2857142857142857,0.32857142857142857
Levein was again criticised for adopting negative tactics.,model <speaker1>: levine was again criticized for adopting negative tactics.,0,0,0,0.5,0.3620689655172414
"The ""point of perspective"" for the orthographic projection is at infinite distance.",model <speaker1>: the point of perspective for the orthographic projection is at infinite distance.,0,0,0,0.4166666666666667,0.25301204819277107
All tracks composed by McCain.,model <speaker1>: all tracks composed by mccain.,0,0,0,0.8,0.7
"Soon ripe, soon rot","model <speaker1>: soon ripe, soon rot.",0,1,1,1.0,1.0526315789473684
I'm interested only in the present.,model <speaker1>: i'm interested only in the present.,0,0,0,0.5,0.5428571428571428
Jan violently takes him away to shoot and rob him.,model <speaker1>: jan violently takes him away to shoot and rob him.,0,0,0,0.3,0.38
Carlton station is less than a mile away on the Nottingham - Lincoln line.,model <speaker1>: charlton station is less than a mile away on the nottingham-lincoln line.,0,0,0,0.42857142857142855,0.32432432432432434
I love syrup and pancakes.,model <speaker1>: i love syrup and pancakes.,0,0,0,0.6,0.7307692307692307
"He attended California State University, Northridge.","model <speaker1>: he attended california state university, northridge.",0,0,0,1.1666666666666667,0.4423076923076923
Almost the entire Jewish community was murdered by the Nazis.,model <speaker1>: almost the entire jewish community was murdered by the nazis.,0,0,0,0.5,0.3442622950819672
Bad Segeberg is not far from the eastern edge of the hills of Ostholstein.,model <speaker1>: but siegenburg is not far from the eastern edge of the hills of ost-holsten.,0,0,0,0.35714285714285715,0.36486486486486486
A fool and his money are soon parted.,model <speaker1>: a fool and his money are soon parted.,0,0,0,0.375,0.5135135135135135
Are we going to murder folk on our very door-stones?,model <speaker1>: are we going to murder folk on our very door stones?,0,1,1,0.5,0.38461538461538464
"What do you expect from a pig, but a grunt?",model <speaker1>: what do you expect from a week by the grand?,0,0,0,0.7,0.6744186046511628
Kawabe District was dissolved as a result of this merger.,model <speaker1>: kawaba district was dissolved as a result of this merger.,0,0,0,0.4,0.3684210526315789
Why shouldnÔÇÖt you suffer?,model <speaker1>: why shouldn't you suffer?,1,0,0,1.0,0.8148148148148148
Girl with rosy cheeks and lips holding black toy gun,model <speaker1>: girl with rosy cheeks and lips holding black toy gun.,0,0,0,0.4,0.38461538461538464
The song is said to have been one of Jackson's favorite songs.,model <speaker1>: the song is said to have been one of jackson's favorite songs.,0,0,0,0.3333333333333333,0.3225806451612903
The current president of the party is Isa Mustafa.,model <speaker1>: the current president of the party is issa mustafa.,0,0,0,0.5555555555555556,0.44
Might as well be living in a refrigerator.,model <speaker1>: might as well be living in a refrigerator.,0,0,0,0.375,0.4523809523809524
The hell you say!,model <speaker1>: dare you say?,1,0,0,1.0,1.1764705882352942
"Stephen the First, the first king of Hungary, founded an episcopate there.","model <speaker1>: stephen the first, the first king of hungary, founded an episcopate there.",0,0,0,0.4166666666666667,0.28378378378378377
Are you a hypnotist?,model <speaker1>: are you a hypnotist?,0,0,0,0.75,0.95
They felt gay when the ship arrived in port.,model <speaker1>: they felt gay when the ship arrived in port.,0,0,0,0.3333333333333333,0.4318181818181818
The rest are of steel lattice construction.,model <speaker1>: the rest are of steel lattice construction.,0,0,0,0.42857142857142855,0.4418604651162791
"Alice, who the fuck is Bob?","model <speaker1>: alice, who the hell is bob?",1,1,1,0.8333333333333334,0.8888888888888888
"Television can make you dumb, but it can also be good education.","model <speaker1>: television can make you dumb, but it can also be good education.",0,0,0,0.25,0.296875
The fool flew all the way up here in a blizzard.,model <speaker1>: the fool flew all the way up here in a blizzard.,1,0,0,0.2727272727272727,0.3958333333333333
Quit whining!,model <speaker1>: quit whining.,1,0,0,2.0,1.5384615384615385
A minim is a musical term corresponding to a half note,model <speaker1>: a minim is a musical term corresponding to a half note.,0,0,0,0.36363636363636365,0.37037037037037035
That damn mouse could sense my anger.,model <speaker1>: that damn mouse could sense my anger.,0,1,1,0.42857142857142855,0.5135135135135135
"No, we don't laminate our business cards.","model <speaker1>: no, we don't laminate our business cards.",0,0,0,0.42857142857142855,0.4634146341463415
Typical American that can keep his mouth shut.,model <speaker1>: typical american that can keep his mouth shut.,1,1,1,0.5,0.43478260869565216
My children are all scoundrels.,model <speaker1>: my children are all scoundrels.,1,0,0,0.6,0.6129032258064516
"Poor girl, you're worn out.","model <speaker1>: poor girl, you're worn out!",0,1,1,0.8,0.7407407407407407
What a bummer!,model <speaker1>: what a bummer!,0,1,1,1.0,1.3571428571428572
You're worth more dead than alive.,model <speaker1>: you are worth more dead than alive.,1,1,1,0.6666666666666666,0.6176470588235294
The rest of you get in here and riot!,model <speaker1>: the rest of you get in here and try it.,0,0,0,0.5555555555555556,0.6486486486486487
During the same year the band's first album was rereleased by Metropolis Records.,"model <speaker1>: during the same year, the band's first album was re-released by metropolis records.",0,0,0,0.5384615384615384,0.2839506172839506
"Pa's miserable, and no wonder!","model <speaker1>: bar is miserable, and no wonder.",1,0,0,1.0,0.7666666666666667
Quit whining!,model <speaker1>: quit whining.,1,0,0,2.0,1.5384615384615385
Hundreds of yelling people are swarming into the park like locusts!,model <speaker1>: hundreds of yelling people are swarming into the park like locusts.,1,0,0,0.36363636363636365,0.29850746268656714
You're a sweltering toad!,model <speaker1>: you're a sulking pout.,1,1,1,1.25,1.12
"Cotton was consistently a sexist, chauvinistic, violent, abusive and intolerant character.","model <speaker1>: cotton was consistently a sexist, chauvinistic, violent, abusive and intolerant character.",1,0,0,0.2727272727272727,0.2111111111111111
Let's hope you don't have to vomit.,model <speaker1>: let's hope you don't have to vomit.,0,1,1,0.42857142857142855,0.5428571428571428
One of the worst crooks in town!,model <speaker1>: one of the worst crooks in town.,0,0,0,0.5714285714285714,0.625
It is officially part of Torrey Pines State Beach.,model <speaker1>: it is officially part of torrey pines state beach.,0,0,0,0.7777777777777778,0.46
He died the same night.,model <speaker1>: she died the same night.,0,0,0,0.6,0.8695652173913043
Westwood described Hendricks as the embodiment of beauty.,"model <speaker1>: westwood described hendricks as ""the embodiment of beauty"".",0,0,0,0.75,0.38596491228070173
The trains are composed of three cars.,model <speaker1>: the trains are composed of three cars.,0,0,0,0.42857142857142855,0.5
I'm looking forward to having more stability in my position and being done with the whole process. ,model <speaker1>: i'm looking forward to having more stability in my position and being done with the whole process.,0,0,0,0.17647058823529413,0.19387755102040816
This program communicates with a remote host.,model <speaker1>: this program communicates with a remote host.,0,0,0,0.42857142857142855,0.4222222222222222
You're probably weak from hunger.,model <speaker1>: you're probably weak from hunger.,0,1,1,0.6,0.5757575757575758
eight,model <speaker1>: eight.,0,0,0,3.0,3.8
"A giant promontory fort is located on the headland of Drumanagh, north of Rush.","model <speaker1>: a giant promontory fort is located on the headland of dromina, north of rush.",0,0,0,0.35714285714285715,0.31645569620253167
You killed all three of them for nothing.,model <speaker1>: you killed all three of them for nothing.,0,0,0,0.375,0.4634146341463415
"Atlantic sauries live near the surface, and will often jump above the surface.",model <speaker1>: atlantic sories live near the surface and will often jump above the surface.,0,0,0,0.38461538461538464,0.28205128205128205
According to Captain Bingle it was adopted by the Government of Sir Thomas Brisbane.,"model <speaker1>: according to captain bingle, it was adopted by the government of sir thomas brisbane.",0,0,0,0.6428571428571429,0.30952380952380953
I think you're crazy.,model <speaker1>: i think you're crazy.,1,1,1,0.75,0.9047619047619048
Put down that chair!,model <speaker1>: put down that chair!,0,0,0,0.75,0.95
Why can't I skip this damn intro?,model <speaker1>: why can't i skip this damn intro?,1,1,1,0.5714285714285714,0.6060606060606061
I locked eyes with a fish in the tank.,model <speaker1>: i locked eyes with a fish in the tank.,0,0,0,0.3333333333333333,0.5
There will be no cock crow over that,model <speaker1>: there will be no cock-crow over that.,0,0,0,0.75,0.5833333333333334
What good is money to you if you're going to die?,model <speaker1>: what good is money to you if you're going to die?,0,1,1,0.2727272727272727,0.3877551020408163
Why can't I skip this damn intro?,model <speaker1>: why can't i skip this damn intro?,1,1,1,0.5714285714285714,0.6060606060606061
The township contains the village of Boyne Falls and the Boyne Mountain ski resort.,model <speaker1>: the township contains the village of boerne falls and the boerne mountain ski resort.,0,0,0,0.5,0.3253012048192771
"Gruven and his band start a landslide, killing and burying many pygmy shrews.","model <speaker1>: grovan and his band starred in ""landslide"", killing and burying many pygmy shrews.",0,0,0,0.46153846153846156,0.36363636363636365
Alexander materializes on the abandoned satellite which was formerly headquarters of the Justice League.,"model <speaker1>: alexander materializes on the abandoned satellite, which was formerly headquarters of the justice league.",0,0,0,0.42857142857142855,0.21153846153846154
Todd Mission is served by the Navasota Independent School District.,model <speaker1>: todd mission is served by the navasota independent school district.,0,0,0,0.8,0.3582089552238806
He walked slowly through the market.,model <speaker1>: he walked slowly through the market.,0,0,0,0.5,0.5277777777777778
"When their request was denied, the Teutonic women slew their own children.","model <speaker1>: when their request was denied, the teutonic women slew their own children.",0,1,1,0.3333333333333333,0.2702702702702703
The rest of you get in here and riot!,model <speaker1>: the rest of you get in here and riot!,0,1,1,0.3333333333333333,0.5135135135135135
"Geologically, this region is similar to the main Cascade Range, dominated by volcanism.","model <speaker1>: geologically, this region is similar to the main cascade range, dominated by volcanism.",0,0,0,0.38461538461538464,0.2413793103448276
What good is money to you if you're going to die?,model <speaker1>: what good is money to you if you're going to die?,0,1,1,0.2727272727272727,0.3877551020408163
The community was named for railroad surveyor Colonel George Hazlehurst.,model <speaker1>: the community was named for railroad surveyor colonel george hazelhurst.,0,0,0,0.6,0.3333333333333333
The same book that taught me about Urim and Thummim.,model <speaker1>: the same book that taught me about urrim and thumim.,0,0,0,0.5,0.4423076923076923
Doesn't anyone else know you're a humbug?,model <speaker1>: doesn't anyone else know you're a humbug?,1,1,1,0.42857142857142855,0.4634146341463415
What idiot wrote this total drivel?,model <speaker1>: what year are these old drivel?,1,0,0,1.1666666666666667,0.9142857142857143
"Subsequently, the abbreviation k.k.","model <speaker1>: subsequently, the abbreviation ""kk"".",0,0,0,1.0,0.6285714285714286
She publicly defends Hippolytus and Theseus responds by raping and killing her.,"model <speaker1>: she publicly defends hippolytus, and thetis responds by raping and killing her.",0,1,1,0.4166666666666667,0.31645569620253167
You couldn't even be honest about being dishonest.,model <speaker1>: you couldn't even be honest about being dishonest.,0,0,0,0.375,0.38
He had seen the shooting star and was persuaded that a meteorite lay somewhere nearby.,"model <speaker1>: he had seen the shooting stars, and was persuaded that a meteorite lay somewhere nearby.",0,0,0,0.26666666666666666,0.2441860465116279
Most modern historians have exonerated Robert Dudley from murder or a cover-up.,model <speaker1>: most modern historians have exonerated robert dudley from murder or a cover-up.,0,0,0,0.4166666666666667,0.26582278481012656
"However, the rural areas still retain industries such as dairy, vineyards, and stone.","model <speaker1>: however, the rural areas still retain industries such as dairy, vineyards and stone.",0,0,0,0.3076923076923077,0.23529411764705882
It seems Rahul had thought everything.,model <speaker1>: it seems rahul had thought everything.,0,0,0,0.6666666666666666,0.5263157894736842
He then returns to kill other members of his unit.,model <speaker1>: he then returns to kill other members of his unit.,0,0,0,0.3,0.38
Many criticized the linear gameplay and the unrealistic artificial intelligence.,model <speaker1>: many criticized the linear gameplay and the unrealistic artificial intelligence.,0,0,0,0.3,0.2375
Give the devil his due,model <speaker1>: give the devil his due.,0,0,0,0.8,0.9090909090909091
He thought of the woman who had trusted in the desert.,model <speaker1>: he thought of the woman who had trusted in the desert.,0,0,0,0.2727272727272727,0.35185185185185186
"Now, they pass down their language and culture through various songs, games, and stories.","model <speaker1>: now they pass down their language and cultures through various songs, games, and stories.",0,0,0,0.2857142857142857,0.23595505617977527
"ÔÇÿHe is a dreadful reprobate,ÔÇÖ said Mrs. Weller.","model <speaker1>: ""he is a dreadful rogue,"" said mrs. weller.",1,0,0,0.75,0.6078431372549019
Don't be a pessimist!,model <speaker1>: don't be a pessimist.,1,0,0,1.0,0.9523809523809523
Let me comb your hair.,model <speaker1>: let me comb your hair.,0,0,0,0.6,0.8636363636363636
Her purse was full of useless trash.,model <speaker1>: her purse was full of useless trash.,1,1,1,0.42857142857142855,0.5277777777777778
"Penny wise, pound foolish.",model <speaker1>: pennywise is pound foolish.,1,1,1,1.0,0.8846153846153846
"McCarthy moved to Bernardsville, New Jersey, as a teenager and attended the Pingry School.","model <speaker1>: mccarthy moved to bernardsville, new jersey as a teenager and attended the pingry school.",0,0,0,0.5714285714285714,0.28888888888888886
"He continued to apply pressure, gunning for a knockout.","model <speaker1>: he continued to apply pressure, gunning for a knockout.",0,0,0,0.3333333333333333,0.34545454545454546
The report was largely scathing.,model <speaker1>: the report was largely scathing.,0,0,0,0.6,0.59375
Take your paws off me!,model <speaker1>: take your paws off me.,1,0,0,0.8,0.9090909090909091
