Dataset,Model,Input Type,Prompt,Total Blocks,Average WER,Average CER,Classification Accuracy,F1 Toxic,F1 Non-Toxic
Test,MERaLION2-2-10B,Audio,Toxic,-,0.065654891,0.031861411,0.835545297,0.58272328,0.897592526
Test,MERaLION2-2-10B,Audio,No Toxic,15,0.056137281,0.029329142,0.835545297,0.58272328,0.897592526
Test,MERaLION2-2-10B,Synthetic,Toxic,-,0.027263692,0.008253328,0.842469706,0.645914397,0.898701299
Test,MERaLION2-2-10B,Synthetic,No Toxic,23,0.031973798,0.018552124,0.842469706,0.645914397,0.898701299
Test,MERaLION2-2-10B,Text,-,-,-,-,0.839007501,0.615172414,0.898212331
Test,MERaLION2-2-3B,Audio,Toxic,-,0.063886312,0.025660367,0.250432776,0.4,0.001537279
Test,MERaLION2-2-3B,Audio,No Toxic,0,0.065514969,0.027240578,0.250432776,0.4,0.001537279
Test,MERaLION2-2-3B,Synthetic,Toxic,-,0.029878099,0.009103274,0.252163878,0.400555042,0.006134969
Test,MERaLION2-2-3B,Synthetic,No Toxic,0,0.030192088,0.009066334,0.252163878,0.400555042,0.006134969
Test,MERaLION2-2-3B,Text,-,-,-,-,0.807847663,0.622020431,0.871179884
Test,Whisper-Small,Audio,-,-,0.096816885,0.043683517,-,-,-
Test,Whisper-Small,Synthetic,-,-,0.050434941,0.020905379,-,-,-
Trigger Test,MERaLION2-2-10B,Audio,Toxic,-,0.092366721,0.035068488,0.777153558,0,0.874604847
Trigger Test,MERaLION2-2-10B,Audio,No Toxic,5,0.076329866,0.031383643,0.777153558,0,0.874604847
Trigger Test,MERaLION2-2-10B,Synthetic,Toxic,-,0.031466302,0.005580626,0.593632959,0,0.745005875
Trigger Test,MERaLION2-2-10B,Synthetic,No Toxic,13,0.032891593,0.019910889,0.593632959,0,0.745005875
Trigger Test,MERaLION2-2-10B,Text,-,-,-,-,0.576779026,0,0.731591449
Trigger Test,MERaLION2-2-3B,Audio,Toxic,-,0.092680863,0.033489635,0,0,0
Trigger Test,MERaLION2-2-3B,Audio,No Toxic,0,0.091265528,0.032679872,0,0,0
Trigger Test,MERaLION2-2-3B,Synthetic,Toxic,-,0.039084199,0.007166603,0,0,0
Trigger Test,MERaLION2-2-3B,Synthetic,No Toxic,0,0.036162475,0.006260448,0,0,0
Trigger Test,MERaLION2-2-3B,Text,-,-,-,-,0.792134831,0,0.884012539
Trigger Test,Whisper-Small,Audio,-,-,0.130096833,0.048059854,-,-,-
Trigger Test,Whisper-Small,Synthetic,-,-,0.046615297,0.006919637,-,-,-
Self-curated,MERaLION2-2-10B,Audio,Toxic,-,0.320825236,0.32046396,0.9,0.909090909,0.888888889
Self-curated,MERaLION2-2-10B,Audio,No Toxic,4,0.330849866,0.323563809,0.9,0.909090909,0.888888889
Self-curated,MERaLION2-2-10B,Synthetic,Toxic,-,0.187699268,0.169420079,0.8,0.8,0.8
Self-curated,MERaLION2-2-10B,Synthetic,No Toxic,3,0.13254455,0.105725797,0.8,0.8,0.8
Self-curated,MERaLION2-2-10B,Text,-,-,-,-,0.8,0.833333333,0.75
Self-curated,MERaLION2-2-3B,Audio,Toxic,-,0.331400296,0.32822542,0.5,0.666666667,0
Self-curated,MERaLION2-2-3B,Audio,No Toxic,0,0.380052335,0.366368273,0.5,0.666666667,0
Self-curated,MERaLION2-2-3B,Synthetic,Toxic,-,0.149807249,0.131010484,0.5,0.666666667,0
Self-curated,MERaLION2-2-3B,Synthetic,No Toxic,1,0.163985429,0.147490241,0.5,0.666666667,0
Self-curated,MERaLION2-2-3B,Text,-,-,-,-,0.7,0.769230769,0.571428571
Self-curated,Whisper-Small,Audio,-,-,0.801472668,0.829771815,-,-,-
Self-curated,Whisper-Small,Synthetic,-,-,0.54800608,0.50740964,-,-,-
