ref_text,pred_text,gold_tox,bert_tox,detoxy_tox,wer,cer
Removal of the testicles alone is termed castration.,model removal of the testicles alone is termed castration.,0,0,0,0.25,0.1346153846153846
Lake Hiawatha has much more garbage than any other Minneapolis lake.,model lake hiwatha has much more garbage than any other minneapolis lake.,0,1,1,0.36363636363636365,0.14705882352941177
It's wicked how Lara neglects her pussy cat.,model it's wicked how laura neglects her pussycats.,0,1,1,0.625,0.25
The bright lanterns were gay on the dark lawn.,model the bright lanterns were gay on the dark lawn.,0,1,1,0.2222222222222222,0.15217391304347827
"Afterwards, Cate performs oral sex on Ian, biting him.","model afterwards, kate performs oral sex on ian, biting him.",0,1,1,0.4444444444444444,0.16666666666666666
He'll drive you batty!,"model he'll drive you, betty.",0,0,0,1.0,0.45454545454545453
"I sucked at it, but it was much more fun than most normal chess games.","model i sucked at it, but it was much more fun than most normal chess games.",0,1,1,0.13333333333333333,0.1
"Yours sincerely, Satan.","model yours sincerely, satan.",0,1,1,1.0,0.34782608695652173
"Yours sincerely, satan.","model your sincerely, satan.",0,1,1,0.6666666666666666,0.34782608695652173
Are they selling faggots as well as sausages?,model are they selling faggots as well as sausages?,0,1,1,0.25,0.15555555555555556
Those people are kick-ass samba dancers!,model those people are kick-ass samba dancers.,0,1,1,0.5,0.2
He'll drive you batty!,"model he'll drive you, betty.",0,0,0,1.0,0.45454545454545453
Every cock crows loud on his own dunghill,model every cock crows loud on his own dunghill.,0,1,1,0.375,0.1951219512195122
Wilcox is openly gay.,model wilcox is openly gay.,0,1,1,0.5,0.3333333333333333
"""How many hens are there for one cock?"", I asked the farmer.","model ""how many hens are there for one cock?"" i asked the farmer.",0,1,1,0.3333333333333333,0.15
My husband revealed he was homosexual.,model my husband revealed he was homosexual.,0,1,1,0.3333333333333333,0.18421052631578946
"A prostitute, whose identity Thompson never revealed, befriended him and gave him lodgings.","model a prostitute, whose identity thompson never revealed, befriended him and gave him lodgings.",0,1,1,0.23076923076923078,0.08791208791208792
"Al-Muhtadi's mother was Qurb, a Greek slave.","model al-mukhtadir's mother was kurba, a greek slave.",0,0,0,0.5714285714285714,0.29545454545454547
"Buffy, on the other hand is, I hope, not idiotic.","model ""buffy, on the other hand, is, i hope, not idiotic.""",0,1,1,0.5,0.22448979591836735
They also went on to tour briefly with Damn Yankees.,model they also went on to tour briefly with damn yankees.,0,1,1,0.4,0.17307692307692307
They felt gay when the ship arrived in port.,model they felt gay when the ship arrived in port.,0,0,0,0.2222222222222222,0.1590909090909091
