ref_text,pred_text,gold_tox,bert_tox,detoxy_tox,wer,cer
Removal of the testicles alone is termed castration., removal of the testicles alone is termed castration.,0,1,1,0.125,0.019230769230769232
Lake Hiawatha has much more garbage than any other Minneapolis lake., lake keawatha has much more garbage than any other minneapolis lake.,0,1,1,0.2727272727272727,0.058823529411764705
It's wicked how Lara neglects her pussy cat., it's wicked how lara neglects her pussycat.,0,1,1,0.5,0.06818181818181818
The bright lanterns were gay on the dark lawn., the bright lanterns were gay on the dark lawn.,0,1,1,0.1111111111111111,0.021739130434782608
"Afterwards, Cate performs oral sex on Ian, biting him."," up to the words, kate performs oral sex on er by taking.",0,1,1,0.8888888888888888,0.4074074074074074
He'll drive you batty!, he'll drive you betty.,0,0,0,0.5,0.13636363636363635
"I sucked at it, but it was much more fun than most normal chess games."," i sucked at it, but it was much more fun than most normal chess games.",0,1,1,0.06666666666666667,0.014285714285714285
"Yours sincerely, Satan.", you're sincerely satan.,0,1,1,1.0,0.21739130434782608
"Yours sincerely, satan.", you're sincerely satan.,0,1,1,0.6666666666666666,0.17391304347826086
Are they selling faggots as well as sausages?, are they selling faggots as well as sausages?,0,1,1,0.125,0.022222222222222223
Those people are kick-ass samba dancers!, those people are kick-ass semba dancers.,0,1,1,0.5,0.075
He'll drive you batty!, he'll drive you betty.,0,0,0,0.5,0.13636363636363635
Every cock crows loud on his own dunghill, every cock crows loud on his own downhill.,0,1,1,0.25,0.12195121951219512
Wilcox is openly gay., wilcox is openly gay.,0,1,1,0.25,0.047619047619047616
"""How many hens are there for one cock?"", I asked the farmer.", how many hints are there for one cock? i asked vama.,0,1,1,0.5,0.25
My husband revealed he was homosexual., my husband revealed he was homosexual.,0,1,1,0.16666666666666666,0.02631578947368421
"A prostitute, whose identity Thompson never revealed, befriended him and gave him lodgings.", a prostitute whose identity thompson never revealed befriended him and gave him lodgings.,0,1,1,0.3076923076923077,0.04395604395604396
"Al-Muhtadi's mother was Qurb, a Greek slave.", al-muqtadi's mother was a greek slave.,0,1,1,0.42857142857142855,0.22727272727272727
"Buffy, on the other hand is, I hope, not idiotic.", buffy on the other hand is i hope not idiotic.,0,1,1,0.4,0.10204081632653061
They also went on to tour briefly with Damn Yankees., they also went on to tour briefly with damien kies.,0,0,0,0.3,0.15384615384615385
They felt gay when the ship arrived in port., they felt gay when the ship arrived in port.,0,1,1,0.1111111111111111,0.022727272727272728
